AAAABBBBCCCCDDDD||......., 0
.DDB.CBD...AAACC||.CDA.BB, 10000000
.DDB.CBD...AAACC||.CD.ABB, 10000000
.DDB.CBD..AA..CC||.CDAABB, 10000000
.DDB.CBD..AA.ACC||.CDA.BB, 10000000
.DDB.CBD..AA.ACC||.CD.ABB, 10000000
.DDB.CBD..AAAACC||.CD..BB, 10000000
.DDB.CBD..AA..CC||.CDABAB, 10000000
.DDB.CBD..AA.ACC||.CDAB.B, 10000000
.DDB.CBD.BAA...C||.CDAACB, 10000000
.DDB.CBD.BAA..CC||.CDAA.B, 10000000
.DDB.CBD.BAA...C||.CDACAB, 10000000
.DDB.CBD.BAA..CC||.CDA.AB, 10000000
.DDB.CBD.BAA.ACC||.CDA..B, 10000000
.DDB.CBD.BAA..CC||.CD.AAB, 10000000
.DDB.CBD.BAA.ACC||.CD.A.B, 10000000
.DDB.CBD.BAA.ACC||.CD..AB, 10000000
.DDB.CBD.BAAAACC||.CD...B, 10000000
.DDB.CBD..AA.ACC||.C.DBAB, 10000000
.DDB.CBD..AAAACC||.C.DB.B, 10000000
.DDB.CBD...AAACC||.C.DABB, 10000000
.DDB.CBD..AA.ACC||.C.DABB, 10000000
.DDB.CBD..AAAACC||.C.D.BB, 10000000
.DDB.CBD.BAA..CC||.C.DAAB, 10000000
.DDB.CBD.BAA.ACC||.C.DA.B, 10000000
.DDB.CBD.BAA.ACC||.C.D.AB, 10000000
.DDB.CBD.BAAAACC||.C.D..B, 10000000
.DDB..BD..AA.ACC||.CBCDAB, 10000000
.DDB..BD..AAAACC||.CBCD.B, 10000000
.DDB.CBD...A.ACC||.CBADAB, 10000000
.DDB.CBD...AAACC||.CBAD.B, 10000000
.DDB.CBD..AA.ACC||.CB.DAB, 10000000
.DDB.CBD..AAAACC||.CB.D.B, 10000000
.DDB.CBD..AA.ACC||.C.BDAB, 10000000
.DDB.CBD..AAAACC||.C.BD.B, 10000000
.DDB.CBD.BAA.ACC||.C..DAB, 10000000
.DDB.CBD.BAAAACC||.C..D.B, 10000000
.DDB...B.BAAAACC||.C.DCDB, 10000000
.DDB.....BAAAACC||.CBDCDB, 10000000
.DDB...D..AAAACC||.CBBCDB, 10000000
.DDB...D.BAAAACC||.CB.CDB, 10000000
.DDB..BB...AAACC||.CDACDB, 10000000
.DDB..BB..AAAACC||.CD.CDB, 10000000
.DDB...B.BAAAACC||.CD.CDB, 10000000
.DDB.....BAAAACC||.CDBCDB, 10000000
.DDB...D.BAAAACC||.C.BCDB, 10000000
.DDB..BD...AAACC||.CBACDB, 10000000
.DDB..BD..AAAACC||.CB.CDB, 10000000
.DDB..BD..AAAACC||.C.BCDB, 10000000
.DDB..BD.BAAAACC||.C..CDB, 10000000
.DDB..BD...AAACC||.CBCADB, 10000000
.DDB..BD..AA.ACC||.CBCADB, 10000000
.DDB..BD..AAAACC||.CBC.DB, 10000000
.DDB.CBD....AACC||.CBAADB, 10000000
.DDB.CBD...A.ACC||.CBAADB, 10000000
.DDB.CBD...AAACC||.CBA.DB, 10000000
.DDB.CBD...AAACC||.CB.ADB, 10000000
.DDB.CBD..AA..CC||.CBAADB, 10000000
.DDB.CBD..AA.ACC||.CBA.DB, 10000000
.DDB.CBD..AA.ACC||.CB.ADB, 10000000
.DDB.CBD..AAAACC||.CB..DB, 10000000
.DDB.CBD...AAACC||.C.BADB, 10000000
.DDB.CBD..AA.ACC||.C.BADB, 10000000
.DDB.CBD..AAAACC||.C.B.DB, 10000000
.DDB..BD...AAACC||.CACBDB, 10000000
.DDB.CBD....AACC||.CAABDB, 10000000
.DDB.CBD...AAACC||.CA.BDB, 10000000
.DDB.CBD...AAACC||.C.ABDB, 10000000
.DDB.CBD..AAAACC||.C..BDB, 10000000
.DDB..BD..AA.ACC||.CACBDB, 10000000
.DDB..BD.BAA..CC||.CACADB, 10000000
.DDB..BD.BAA.ACC||.CAC.DB, 10000000
.DDB...D.BAA.ACC||.CABCDB, 10000000
.DDB..BD..AA.ACC||.CABCDB, 10000000
.DDB..BD.BAA.ACC||.CA.CDB, 10000000
.DDB.CBD...A.ACC||.CABADB, 10000000
.DDB.CBD..AA..CC||.CABADB, 10000000
.DDB.CBD..AA.ACC||.CAB.DB, 10000000
.DDB.CBD...A.ACC||.CAABDB, 10000000
.DDB.CBD..AA.ACC||.CA.BDB, 10000000
.DDB.CBD..AA..CC||.CAABDB, 10000000
.DDB.CBD.BAA...C||.CAACDB, 10000000
.DDB.CBD.BAA..CC||.CAA.DB, 10000000
.DDB.CBD.BAA..CC||.CA.ADB, 10000000
.DDB.CBD.BAA.ACC||.CA..DB, 10000000
.DDB.CBD..AA.ACC||.C.ABDB, 10000000
.DDB.CBD.BAA..CC||.C.AADB, 10000000
.DDB.CBD.BAA.ACC||.C.A.DB, 10000000
.DDB.CBD.BAA.ACC||.C..ADB, 10000000
.DDB.CBD.BAAAACC||.C...DB, 10000000
.DDB..BD.BAA..CC||.CACDAB, 10000000
.DDB..BD.BAA.ACC||.CACD.B, 10000000
.DDB..BDDBAA...C||.CACACB, 10000000
.DDB..BDDBAA..CC||.CACA.B, 10000000
.DDB..BDDBAA...C||.CACCAB, 10000000
.DDB..BDDBAA..CC||.CAC.AB, 10000000
.DDB..BDDBAA.ACC||.CAC..B, 10000000
.DDB...DDBAA..CC||.CABCAB, 10000000
.DDB...DDBAA.ACC||.CABC.B, 10000000
.DDB..BD.BAA..CC||.CADCAB, 10000000
.DDB..BD.BAA.ACC||.CADC.B, 10000000
.DDB..BDDBAA..CC||.CA.CAB, 10000000
.DDB..BDDBAA.ACC||.CA.C.B, 10000000
.DDB.CBD..AA..CC||.CADBAB, 10000000
.DDB.CBD..AA.ACC||.CADB.B, 10000000
.DDB.CBD...A.ACC||.CADABB, 10000000
.DDB.CBD..AA..CC||.CADABB, 10000000
.DDB.CBD..AA.ACC||.CAD.BB, 10000000
.DDB.CBD.BAA...C||.CADACB, 10000000
.DDB.CBD.BAA..CC||.CADA.B, 10000000
.DDB.CBD.BAA...C||.CADCAB, 10000000
.DDB.CBD.BAA..CC||.CAD.AB, 10000000
.DDB.CBD.BAA.ACC||.CAD..B, 10000000
.DDB.CBD..AA..CC||.CABDAB, 10000000
.DDB.CBD..AA.ACC||.CABD.B, 10000000
.DDB.CBD.BAA..CC||.CA.DAB, 10000000
.DDB.CBD.BAA.ACC||.CA.D.B, 10000000
.DDB.CBD.BAA...C||.CAADCB, 10000000
.DDB.CBD.BAA..CC||.CAAD.B, 10000000
.DDB.CBDDBAA....||.CAACCB, 10000000
.DDB.CBDDBAA...C||.CAAC.B, 10000000
.DDB.CBDDBAA...C||.CAA.CB, 10000000
.DDB.CBDDBAA..CC||.CAA..B, 10000000
.DDB.CBDDBAA...C||.CA.ACB, 10000000
.DDB.CBDDBAA..CC||.CA.A.B, 10000000
.DDB.CBD.BAA...C||.CACDAB, 10000000
.DDB.CBDDBAA....||.CACCAB, 10000000
.DDB.CBDDBAA...C||.CAC.AB, 10000000
.DDB.CBDDBAA...C||.CA.CAB, 10000000
.DDB.CBDDBAA..CC||.CA..AB, 10000000
.DDB.CBDDBAA.ACC||.CA...B, 10000000
.DDB.CBD.BAA..CC||.C.ADAB, 10000000
.DDB.CBD.BAA.ACC||.C.AD.B, 10000000
.DDB.CBDDBAA...C||.C.AACB, 10000000
.DDB.CBDDBAA..CC||.C.AA.B, 10000000
.DDB.CBDDBAA...C||.C.ACAB, 10000000
.DDB.CBDDBAA..CC||.C.A.AB, 10000000
.DDB.CBDDBAA.ACC||.C.A..B, 10000000
.DDB.CBDDBAA..CC||.C..AAB, 10000000
.DDB.CBDDBAA.ACC||.C..A.B, 10000000
.DDB.CBDDBAA.ACC||.C...AB, 10000000
.DDB.CBDDBAAAACC||.C....B, 10000000
.DDB.CBD.BAA..CC||.CDBAA., 10000000
.DDB.CBD.BAA...C||.CDBACA, 10000000
.DDB.CBD.BAA..CC||.CDBA.A, 10000000
.DDB.CBD.BAA.ACC||.CDBA.., 10000000
.DDB.CBD.BAA.ACC||.CDB.A., 10000000
.DDB.CBD...A.ACC||.CDBABA, 10000000
.DDB.CBD..AA..CC||.CDBABA, 10000000
.DDB.CBD..AA.ACC||.CDB.BA, 10000000
.DDB.CBD.BAA...C||.CDBCAA, 10000000
.DDB.CBD.BAA..CC||.CDB.AA, 10000000
.DDB.CBD.BAA.ACC||.CDB..A, 10000000
.DDB.CBD.BAAAACC||.CDB..., 10000000
.DDBBCBD...A.ACC||.CDBAA., 10000000
.DDBBCBD...A..CC||.CDBAAA, 10000000
.DDBBCBD...A.ACC||.CDBA.A, 10000000
.DDBBCBD...AAACC||.CDBA.., 10000000
.DDBBCBD....AACC||.CDBAA., 10000000
.DDBBCBD...AAACC||.CDB.A., 10000000
.DDBBCBD.....ACC||.CDBAAA, 10000000
.DDBBCBD....AACC||.CDBA.A, 10000000
.DDBBCBD....AACC||.CDB.AA, 10000000
.DDBBCBD...A.ACC||.CDB.AA, 10000000
.DDBBCBD...AAACC||.CDB..A, 10000000
.DDBBCBD..AA..CC||.CDBAA., 10000000
.DDBBCBD..AA...C||.CDBACA, 10000000
.DDBBCBD..AA..CC||.CDBA.A, 10000000
.DDBBCBD..AA.ACC||.CDBA.., 10000000
.DDBBCBD..AA.ACC||.CDB.A., 10000000
.DDBBCBD..AA...C||.CDBCAA, 10000000
.DDBBCBD..AA..CC||.CDB.AA, 10000000
.DDBBCBD..AA.ACC||.CDB..A, 10000000
.DDBBCBD..AAAACC||.CDB..., 10000000
.DDBBCBD...A.ACC||.CDABA., 10000000
.DDBBCBD...A..CC||.CDABAA, 10000000
.DDBBCBD...A.ACC||.CDAB.A, 10000000
.DDBBCBD...AAACC||.CDAB.., 10000000
.DDBBCBD..AA.ACC||.CD.BA., 10000000
.DDBBCBD..AA..CC||.CD.BAA, 10000000
.DDBBCBD..AA.ACC||.CD.B.A, 10000000
.DDBBCBD..AAAACC||.CD.B.., 10000000
.DDBBCBD....AACC||.CDAAB., 10000000
.DDBBCBD...A.ACC||.CDAAB., 10000000
.DDBBCBD...AAACC||.CDA.B., 10000000
.DDBBCBD...AAACC||.CD.AB., 10000000
.DDBBCBD..AA..CC||.CDAAB., 10000000
.DDBBCBD..AA.ACC||.CDA.B., 10000000
.DDBBCBD..AA.ACC||.CD.AB., 10000000
.DDBBCBD..AAAACC||.CD..B., 10000000
.DDBBCBD.....ACC||.CDAAAB, 10000000
.DDBBCBD....AACC||.CDAA.B, 10000000
.DDBBCBD....AACC||.CDA.AB, 10000000
.DDBBCBD...A..CC||.CDAAAB, 10000000
.DDBBCBD...A.ACC||.CDAA.B, 10000000
.DDBBCBD...A.ACC||.CDA.AB, 10000000
.DDBBCBD...AAACC||.CDA..B, 10000000
.DDBBCBD...A.ACC||.CD.AAB, 10000000
.DDBBCBD...AAACC||.CD.A.B, 10000000
.DDB..BD...AAACC||.CDCBAB, 10000000
.DDB.CBD....AACC||.CDABAB, 10000000
.DDB.CBD...AAACC||.CD.BAB, 10000000
.DDBBCBD....AACC||.CD.AAB, 10000000
.DDBBCBD...AAACC||.CD..AB, 10000000
.DDBBCBD..AA...C||.CDAACB, 10000000
.DDBBCBD..AA..CC||.CDAA.B, 10000000
.DDBBCBD..AA...C||.CDACAB, 10000000
.DDBBCBD..AA..CC||.CDA.AB, 10000000
.DDBBCBD..AA.ACC||.CDA..B, 10000000
.DDBBCBD..AA..CC||.CD.AAB, 10000000
.DDBBCBD..AA.ACC||.CD.A.B, 10000000
.DDBBCBD..AA.ACC||.CD..AB, 10000000
.DDBBCBD..AAAACC||.CD...B, 10000000
.DDBBCBD..AA..CC||.CDABA., 10000000
.DDBBCBD..AA...C||.CDABCA, 10000000
.DDBBCBD..AA..CC||.CDAB.A, 10000000
.DDBBCBD..AA.ACC||.CDAB.., 10000000
.DDBBCBD.BAA...C||.CDAAC., 10000000
.DDBBCBD.BAA....||.CDAACC, 10000000
.DDBBCBD.BAA...C||.CDAA.C, 10000000
.DDBBCBD.BAA..CC||.CDAA.., 10000000
.DDBBCBD.BAA...C||.CDACA., 10000000
.DDBBCBD.BAA..CC||.CDA.A., 10000000
.DDBBCBD...A..CC||.CDAABA, 10000000
.DDBBCBD..AA...C||.CDACBA, 10000000
.DDBBCBD..AA..CC||.CDA.BA, 10000000
.DDBBCBD.BAA....||.CDACCA, 10000000
.DDBBCBD.BAA...C||.CDAC.A, 10000000
.DDBBCBD.BAA...C||.CDA.CA, 10000000
.DDBBCBD.BAA..CC||.CDA..A, 10000000
.DDBBCBD.BAA.ACC||.CDA..., 10000000
.DDBBCBD.BAA..CC||.CD.AA., 10000000
.DDBBCBD.BAA...C||.CD.ACA, 10000000
.DDBBCBD.BAA..CC||.CD.A.A, 10000000
.DDBBCBD.BAA.ACC||.CD.A.., 10000000
.DDBBCBD.BAA.ACC||.CD..A., 10000000
.DDB..BD..AA.ACC||.CDCBBA, 10000000
.DDB..BD.BAA..CC||.CDCABA, 10000000
.DDB..BD.BAA.ACC||.CDC.BA, 10000000
.DDB...D.BAA.ACC||.CDBCBA, 10000000
.DDB..BD..AA.ACC||.CDBCBA, 10000000
.DDB..BD.BAA.ACC||.CD.CBA, 10000000
.DDB.CBD...A.ACC||.CDABBA, 10000000
.DDB.CBD..AA.ACC||.CD.BBA, 10000000
.DDB.CBD..AA..CC||.CDABBA, 10000000
.DDB.CBD.BAA...C||.CDACBA, 10000000
.DDB.CBD.BAA..CC||.CDA.BA, 10000000
.DDB.CBD.BAA..CC||.CD.ABA, 10000000
.DDB.CBD.BAA.ACC||.CD..BA, 10000000
.DDBBCBD.....ACC||.CDAABA, 10000000
.DDBBCBD...A.ACC||.CDA.BA, 10000000
.DDBBCBD...A.ACC||.CD.ABA, 10000000
.DDBBCBD..AA..CC||.CD.ABA, 10000000
.DDBBCBD..AA.ACC||.CD..BA, 10000000
.DDBBCBD..AA...C||.CDCBAA, 10000000
.DDBBCBD.BAA....||.CDCCAA, 10000000
.DDBBCBD.BAA...C||.CDC.AA, 10000000
.DDBBCBD.BAA...C||.CD.CAA, 10000000
.DDBBCBD.BAA..CC||.CD..AA, 10000000
.DDBBCBD.BAA.ACC||.CD...A, 10000000
.DDBBCBD.BAAAACC||.CD...., 10000000
.DDBBCBD..AA.ACC||.C.DBA., 10000000
.DDBBCBD..AA..CC||.C.DBAA, 10000000
.DDBBCBD..AA.ACC||.C.DB.A, 10000000
.DDBBCBD..AAAACC||.C.DB.., 10000000
.DDBBCBD...AAACC||.C.DAB., 10000000
.DDBBCBD..AA.ACC||.C.DAB., 10000000
.DDBBCBD..AAAACC||.C.D.B., 10000000
.DDBBCBD...A.ACC||.C.DAAB, 10000000
.DDBBCBD...AAACC||.C.DA.B, 10000000
.DDBBCBD....AACC||.C.DAAB, 10000000
.DDBBCBD...AAACC||.C.D.AB, 10000000
.DDBBCBD..AA..CC||.C.DAAB, 10000000
.DDBBCBD..AA.ACC||.C.DA.B, 10000000
.DDBBCBD..AA.ACC||.C.D.AB, 10000000
.DDBBCBD..AAAACC||.C.D..B, 10000000
.DDBBCBD.BAA..CC||.C.DAA., 10000000
.DDBBCBD.BAA...C||.C.DACA, 10000000
.DDBBCBD.BAA..CC||.C.DA.A, 10000000
.DDBBCBD.BAA.ACC||.C.DA.., 10000000
.DDBBCBD.BAA.ACC||.C.D.A., 10000000
.DDBBCBD...A.ACC||.C.DABA, 10000000
.DDBBCBD..AA..CC||.C.DABA, 10000000
.DDBBCBD..AA.ACC||.C.D.BA, 10000000
.DDBBCBD.BAA...C||.C.DCAA, 10000000
.DDBBCBD.BAA..CC||.C.D.AA, 10000000
.DDBBCBD.BAA.ACC||.C.D..A, 10000000
.DDBBCBD.BAAAACC||.C.D..., 10000000
.DDBBCBD...A.ACC||.CBADA., 10000000
.DDBBCBD...A..CC||.CBADAA, 10000000
.DDBBCBD...A.ACC||.CBAD.A, 10000000
.DDBBCBD...AAACC||.CBAD.., 10000000
.DDBBCBD..AA.ACC||.CB.DA., 10000000
.DDBBCBD..AA..CC||.CB.DAA, 10000000
.DDBBCBD..AA.ACC||.CB.D.A, 10000000
.DDBBCBD..AAAACC||.CB.D.., 10000000
.DDBBCBD..AA.ACC||.C.BDA., 10000000
.DDBBCBD..AA..CC||.C.BDAA, 10000000
.DDBBCBD..AA.ACC||.C.BD.A, 10000000
.DDBBCBD..AAAACC||.C.BD.., 10000000
.DDBBCBD.BAA.ACC||.C..DA., 10000000
.DDBBCBD.BAA..CC||.C..DAA, 10000000
.DDBBCBD.BAA.ACC||.C..D.A, 10000000
.DDBBCBD.BAAAACC||.C..D.., 10000000
.DDB...D.BAAAACC||.CCBBD., 10000000
.DDB..BD.BAAAACC||.CC.BD., 10000000
.DDB...D.BAAAACC||.CBCBD., 10000000
.DDB..BD.BAAAACC||.C.CBD., 10000000
.DDB.CBD.BAAAACC||.C..BD., 10000000
.DDBBCBD....AACC||.CBAAD., 10000000
.DDBBCBD...A.ACC||.CBAAD., 10000000
.DDBBCBD...AAACC||.CBA.D., 10000000
.DDBBCBD...AAACC||.CB.AD., 10000000
.DDBBCBD..AA..CC||.CBAAD., 10000000
.DDBBCBD..AA.ACC||.CBA.D., 10000000
.DDBBCBD..AA.ACC||.CB.AD., 10000000
.DDBBCBD..AAAACC||.CB..D., 10000000
.DDBBCBD...AAACC||.C.BAD., 10000000
.DDBBCBD..AA.ACC||.C.BAD., 10000000
.DDBBCBD..AAAACC||.C.B.D., 10000000
.DDB.CBD...AAACC||.CABBD., 10000000
.DDBBCBD....AACC||.CAABD., 10000000
.DDBBCBD...AAACC||.CA.BD., 10000000
.DDBBCBD...AAACC||.C.ABD., 10000000
.DDBBCBD..AAAACC||.C..BD., 10000000
.DDB.CBD..AA.ACC||.CABBD., 10000000
.DDB.CBD.BAA..CC||.CABAD., 10000000
.DDB.CBD.BAA.ACC||.CAB.D., 10000000
.DDB..BD.BAA.ACC||.CACBD., 10000000
.DDB.CBD.BAA.ACC||.CA.BD., 10000000
.DDBBCBD...A.ACC||.CABAD., 10000000
.DDBBCBD..AA..CC||.CABAD., 10000000
.DDBBCBD..AA.ACC||.CAB.D., 10000000
.DDBBCBD...A.ACC||.CAABD., 10000000
.DDBBCBD..AA.ACC||.CA.BD., 10000000
.DDBBCBD..AA..CC||.CAABD., 10000000
.DDBBCBD.BAA...C||.CAACD., 10000000
.DDBBCBD.BAA..CC||.CAA.D., 10000000
.DDBBCBD.BAA..CC||.CA.AD., 10000000
.DDBBCBD.BAA.ACC||.CA..D., 10000000
.DDBBCBD..AA.ACC||.C.ABD., 10000000
.DDBBCBD.BAA..CC||.C.AAD., 10000000
.DDBBCBD.BAA.ACC||.C.A.D., 10000000
.DDBBCBD.BAA.ACC||.C..AD., 10000000
.DDBBCBD.BAAAACC||.C...D., 10000000
.DDB...D.BAA.ACC||.CCBBAD, 10000000
.DDB...D.BAAAACC||.CCBB.D, 10000000
.DDB..BD.BAA.ACC||.CC.BAD, 10000000
.DDB..BD.BAAAACC||.CC.B.D, 10000000
.DDB...D.BAA.ACC||.CBCBAD, 10000000
.DDB...D.BAAAACC||.CBCB.D, 10000000
.DDB..BD.BAA.ACC||.C.CBAD, 10000000
.DDB..BD.BAAAACC||.C.CB.D, 10000000
.DDB.CBD.BAA.ACC||.C..BAD, 10000000
.DDB.CBD.BAAAACC||.C..B.D, 10000000
.DDB...D..AAAACC||.CCBBBD, 10000000
.DDB...D.BAA.ACC||.CCBABD, 10000000
.DDB...D.BAAAACC||.CCB.BD, 10000000
.DDB.....BAAAACC||.CCDBBD, 10000000
.DDB...D.BAAAACC||.CC.BBD, 10000000
.DDB..BD...AAACC||.CCABBD, 10000000
.DDB..BD..AAAACC||.CC.BBD, 10000000
.DDB..BD..AA.ACC||.CCABBD, 10000000
.DDB..BD.BAA..CC||.CCAABD, 10000000
.DDB..BD.BAA.ACC||.CCA.BD, 10000000
.DDB..BD.BAA.ACC||.CC.ABD, 10000000
.DDB..BD.BAAAACC||.CC..BD, 10000000
.DDB...D..AAAACC||.CBCBBD, 10000000
.DDB...D.BAA.ACC||.CBCABD, 10000000
.DDB...D.BAAAACC||.CBC.BD, 10000000
.DDB..BD..AAAACC||.C.CBBD, 10000000
.DDB..BD.BAA.ACC||.C.CABD, 10000000
.DDB..BD.BAAAACC||.C.C.BD, 10000000
.DDB...B.BAAAACC||.C.DCBD, 10000000
.DDB.....BAAAACC||.CBDCBD, 10000000
.DDB...D.BAAAACC||.CB.CBD, 10000000
.DDB..BB...AAACC||.CDACBD, 10000000
.DDB..BB..AAAACC||.CD.CBD, 10000000
.DDB...B.BAAAACC||.CD.CBD, 10000000
.DDB.....BAAAACC||.CDBCBD, 10000000
.DDB...D.BAAAACC||.C.BCBD, 10000000
.DDB..BD..AAAACC||.C.BCBD, 10000000
.DDB..BD.BAAAACC||.C..CBD, 10000000
.DDB..BD...AAACC||.CACBBD, 10000000
.DDB.CBD....AACC||.CAABBD, 10000000
.DDB.CBD...AAACC||.CA.BBD, 10000000
.DDB.CBD...AAACC||.C.ABBD, 10000000
.DDB.CBD..AAAACC||.C..BBD, 10000000
.DDB..BD..AA.ACC||.CACBBD, 10000000
.DDB..BD.BAA..CC||.CACABD, 10000000
.DDB..BD.BAA.ACC||.CAC.BD, 10000000
.DDB...D.BAA.ACC||.CABCBD, 10000000
.DDB..BD..AA.ACC||.CABCBD, 10000000
.DDB..BD.BAA.ACC||.CA.CBD, 10000000
.DDB.CBD...A.ACC||.CABABD, 10000000
.DDB.CBD..AA..CC||.CABABD, 10000000
.DDB.CBD..AA.ACC||.CAB.BD, 10000000
.DDB.CBD...A.ACC||.CAABBD, 10000000
.DDB.CBD..AA.ACC||.CA.BBD, 10000000
.DDB.CBD..AA..CC||.CAABBD, 10000000
.DDB.CBD.BAA...C||.CAACBD, 10000000
.DDB.CBD.BAA..CC||.CAA.BD, 10000000
.DDB.CBD.BAA..CC||.CA.ABD, 10000000
.DDB.CBD.BAA.ACC||.CA..BD, 10000000
.DDB.CBD..AA.ACC||.C.ABBD, 10000000
.DDB.CBD.BAA..CC||.C.AABD, 10000000
.DDB.CBD.BAA.ACC||.C.A.BD, 10000000
.DDB.CBD.BAA.ACC||.C..ABD, 10000000
.DDB.CBD.BAAAACC||.C...BD, 10000000
.DDBBCBD.....ACC||.CBAAAD, 10000000
.DDBBCBD....AACC||.CBAA.D, 10000000
.DDBBCBD....AACC||.CBA.AD, 10000000
.DDBBCBD...A..CC||.CBAAAD, 10000000
.DDBBCBD...A.ACC||.CBAA.D, 10000000
.DDBBCBD...A.ACC||.CBA.AD, 10000000
.DDBBCBD...AAACC||.CBA..D, 10000000
.DDBBCBD...A.ACC||.CB.AAD, 10000000
.DDBBCBD...AAACC||.CB.A.D, 10000000
.DDB..BD...AAACC||.CBCBAD, 10000000
.DDB.CBD....AACC||.CBABAD, 10000000
.DDB.CBD...AAACC||.CB.BAD, 10000000
.DDBBCBD....AACC||.CB.AAD, 10000000
.DDBBCBD...AAACC||.CB..AD, 10000000
.DDBBCBD..AA...C||.CBAACD, 10000000
.DDBBCBD..AA..CC||.CBAA.D, 10000000
.DDBBCBD..AA...C||.CBACAD, 10000000
.DDBBCBD..AA..CC||.CBA.AD, 10000000
.DDBBCBD..AA.ACC||.CBA..D, 10000000
.DDBBCBD..AA..CC||.CB.AAD, 10000000
.DDBBCBD..AA.ACC||.CB.A.D, 10000000
.DDBBCBD..AA.ACC||.CB..AD, 10000000
.DDBBCBD..AAAACC||.CB...D, 10000000
.DDBBCBD...A.ACC||.C.BAAD, 10000000
.DDBBCBD...AAACC||.C.BA.D, 10000000
.DDBBCBD....AACC||.C.BAAD, 10000000
.DDBBCBD...AAACC||.C.B.AD, 10000000
.DDBBCBD..AA..CC||.C.BAAD, 10000000
.DDBBCBD..AA.ACC||.C.BA.D, 10000000
.DDBBCBD..AA.ACC||.C.B.AD, 10000000
.DDBBCBD..AAAACC||.C.B..D, 10000000
.DDB.CBD...A.ACC||.CABBAD, 10000000
.DDB.CBD...AAACC||.CABB.D, 10000000
.DDBBCBD.....ACC||.CAABAD, 10000000
.DDBBCBD....AACC||.CAAB.D, 10000000
.DDBBCBD...A.ACC||.CA.BAD, 10000000
.DDBBCBD...AAACC||.CA.B.D, 10000000
.DDBBCBD...A.ACC||.C.ABAD, 10000000
.DDBBCBD...AAACC||.C.AB.D, 10000000
.DDBBCBD..AA.ACC||.C..BAD, 10000000
.DDBBCBD..AAAACC||.C..B.D, 10000000
...BBCBD...AAACC||.CDADBD, 10000000
...BBCBD..AAAACC||.CD.DBD, 10000000
....BCBD..AAAACC||.CBDDBD, 10000000
...B.CBD..AAAACC||.CBDDBD, 10000000
...BBCBD..AAAACC||.C.DDBD, 10000000
..DB.CBD...AAACC||.CABDBD, 10000000
..DBBCBD....AACC||.CAADBD, 10000000
..DBBCBD...AAACC||.CA.DBD, 10000000
..DBBCBD...AAACC||.C.ADBD, 10000000
..DBBCBD..AAAACC||.C..DBD, 10000000
.DDB.CBD....AACC||.CABABD, 10000000
.DDB.CBD...AAACC||.CAB.BD, 10000000
.DDBBCBD.....ACC||.CAAABD, 10000000
.DDBBCBD....AACC||.CAA.BD, 10000000
.DDBBCBD....AACC||.CA.ABD, 10000000
.DDBBCBD...A..CC||.CAAABD, 10000000
.DDBBCBD...A.ACC||.CAA.BD, 10000000
.DDBBCBD...A.ACC||.CA.ABD, 10000000
.DDBBCBD...AAACC||.CA..BD, 10000000
.DDBBCBD....AACC||.C.AABD, 10000000
.DDBBCBD...A.ACC||.C.AABD, 10000000
.DDBBCBD...AAACC||.C.A.BD, 10000000
.DDBBCBD...AAACC||.C..ABD, 10000000
.DDBBCBD..AA...C||.CAACBD, 10000000
.DDBBCBD..AA..CC||.CAA.BD, 10000000
.DDBBCBD..AA..CC||.CA.ABD, 10000000
.DDBBCBD..AA.ACC||.CA..BD, 10000000
.DDBBCBD..AA..CC||.C.AABD, 10000000
.DDBBCBD..AA.ACC||.C.A.BD, 10000000
.DDBBCBD..AA.ACC||.C..ABD, 10000000
.DDBBCBD..AAAACC||.C...BD, 10000000
.DDB.CBD..AA..CC||.CABBAD, 10000000
.DDB.CBD..AA.ACC||.CABB.D, 10000000
.DDB.CBD.BAA...C||.CABACD, 10000000
.DDB.CBD.BAA..CC||.CABA.D, 10000000
.DDB.CBD.BAA...C||.CABCAD, 10000000
.DDB.CBD.BAA..CC||.CAB.AD, 10000000
.DDB.CBD.BAA.ACC||.CAB..D, 10000000
.DDB..BD.BAA..CC||.CACBAD, 10000000
.DDB..BD.BAA.ACC||.CACB.D, 10000000
.DDB.CBD.BAA..CC||.CA.BAD, 10000000
.DDB.CBD.BAA.ACC||.CA.B.D, 10000000
.DDBBCBD...A..CC||.CABAAD, 10000000
.DDBBCBD...A.ACC||.CABA.D, 10000000
.DDBBCBD.....ACC||.CABAAD, 10000000
.DDBBCBD...A.ACC||.CAB.AD, 10000000
.DDBBCBD..AA...C||.CABACD, 10000000
.DDBBCBD..AA..CC||.CABA.D, 10000000
.DDBBCBD..AA...C||.CABCAD, 10000000
.DDBBCBD..AA..CC||.CAB.AD, 10000000
.DDBBCBD..AA.ACC||.CAB..D, 10000000
.DDBBCBD...A..CC||.CAABAD, 10000000
.DDBBCBD...A.ACC||.CAAB.D, 10000000
.DDBBCBD..AA..CC||.CA.BAD, 10000000
.DDBBCBD..AA.ACC||.CA.B.D, 10000000
.DDBBCBD..AA...C||.CAABCD, 10000000
.DDBBCBD..AA..CC||.CAAB.D, 10000000
.DDBBCBD.BAA....||.CAACCD, 10000000
.DDBBCBD.BAA...C||.CAAC.D, 10000000
.DDBBCBD.BAA...C||.CAA.CD, 10000000
.DDBBCBD.BAA..CC||.CAA..D, 10000000
.DDBBCBD.BAA...C||.CA.ACD, 10000000
